adres
"ât Boerder-Ei-tjeWolfswinkel 4, 5491 PP Sint-Oedenrode, Nederland"
"Landbouwbedrijf De ZandkantOude Bossche Baan 14, 5074 RD Biezenmortel, Nederland"
"Landwinkel Boer SpieringsOijenseweg 284, 5346 JG Oss, Nederland"
"Landwinkel ValenkampKruisstraat 58, 5249 PA Rosmalen, Nederland"
"Legkippenbedrijf Frank DonkersGrote Heide 9, 5388 VT Nistelrode, Nederland"
"Lekkerz van HierSchutsboomstraat 13a, 5374 CA Schaijk, Nederland"
"Maatschap JanssenVan Den Boschweg 12, 5435 XG Sint Agatha, Nederland"
"MariaWeidestraat 20, 5275 AR Den Dungen, Nederland"
"Melktap De KamphoeveStevensbeekseweg 37, 5825 JB Overloon, Nederland"
"Melktap Heeswijk DintherKoffiestraat 6, 5473 RP Heeswijk Dinther, Nederland"
"Melkveebedrijf Pieter TeurlingsGroenstraat 115, 5071 PC Udenhout, Nederland"
"Morschehoef 17, ErpMorschehoef 17, 5469 SM Erp, Nederland"
"Op de NieuwekampenNieuwekampen 34, 5382 JN Vinkel, Nederland"
"Op het ErfAA-Brugstraat 4a, 5473 GG Heeswijk Dinther, Nederland"
"Peterâs Farm Kalverhouderij Fam.DerksOude Waranda 2, 5836 BC Sambeek, Nederland"
"Piepers & ZoPatersweg 18, 5406 XJ Uden, Nederland"
"Pluimveebedrijf StipkipPatersweg 9, 5406 XJ Uden, Nederland"
"Pluimveebedrijf van den BoschDe Gijzel 32, 5268 CN Helvoirt, Nederland"
"Pluimveehouderij Cuppen-Ploegmakers VOFKleine Graspeel 9, 5411 RA Zeeland, Nederland"
"Pluktuin UdenHooistraat 12, 5406 WB Uden, Nederland"
"Puur BerkshireKaathovensedijk 5, 5473 VP Heeswijk Dinther, Nederland"
"PuurvleeskopenKruishoeveweg 3, 5263 NM Vught, Nederland"
"Rozemarijn & ThijmGalerij 42, 5401 GD Uden, Nederland"
"RuigenhilvleesZuidhaven 95, 4761 CT Zevenbergen, Nederland"
"Schijndelseweg 38Schijndelseweg 38, 5491 TB Sint-Oedenrode, Nederland"
"Schuurhoek 1, ErpSchuurhoek 1, 5469 SP Erp, Nederland"
"Sint Josephplein 37, VenhorstSint Josephplein 37, 5428 GL Venhorst, Nederland"
"Stalletje DelstraatDelstraat, 5406 VW Uden, Nederland"
"Streekwinkel Ons ErfKuil 31, 5071 RH Udenhout, Nederland"
"Timmers, pompoenenWilsfoort 6, 5406 XL Uden, Nederland"
"Tuinderij ât TuureindDeursenseweg 5, 5351 NN Berghem, Nederland"
"Tuinderij de WentelingSint Janskruid 20, 5071 GL Udenhout, Nederland"
"Tum Tum Snoeperij, Den BoschRidderstraat 11, 5211 JZ 's-Hertogenbosch, Nederland"
"Van der HeijdenBosscheweg 54, 5275 HC Den Dungen, Nederland"
"van Hoof zachtfruit en aspergesRoest 2A, 5491 XX Sint-Oedenrode, Nederland"
"Van WelieStevensbeekseweg 9, 5844 AB Stevensbeek, Nederland"
"Van Zutven EierenNcb-Laan 17, 5462 GA Veghel, Nederland"
"Vandelangenberg landbouwBiezenmortelsestraat 14, 5074 RB Biezenmortel, Nederland"
"VerenhofVegetasscheweg 5, 5364 SB Escharen, Nederland"
"Versvleesboerderij SavelkoulsHustenweg 8, 5236 BC 's-Hertogenbosch, Nederland"
"Vughtse IJsboerderijEsscheweg 209, 5262 LH Vught, Nederland"
"Wilgenstraat 12, VolkelWilgenstraat 12, 5408 RE Volkel, Nederland"
"Wilgenstraat 8, VolkelWilgenstraat 8, 5408 RE Volkel, Nederland"
"Willies worstenbroodMolenhoefstraat 14, 5071 RL Udenhout, Nederland"
"Winery & HerbsBoxtelseweg 23, 5481 VE Schijndel, Nederland"
"Winkel ât thuithuisValkseweg 29, 5396 NV Lithoijen, Nederland"
"Zorgboerderij De LindelaarGemertseweg 36, 5841 CE Oploo, Nederland"
"Zorghoeve ât BinnenveldBoxtelseweg 5, 5481 VE Schijndel, Nederland"
"Zorgtuin ât HamLangsteeg 5, 5463 PA Veghel, Nederland"
"Zuivelboerderij ât ArendnestArendnest 1, 5427 LB Boekel, Nederland"
"ât Boeren BesoijenWesteinde 14, 5141 AC Waalwijk, Nederland"
"ât FazantjeFazantenweg 51, 5106 RC Dongen, Nederland"
"ât IJsboerinnekeZandstraat 24, 5066 CA Moergestel, Nederland"
"ât VaantjeDe Hoeven 1A, 5254 JV Haarsteeg, Nederland"
"ât IJshuysBotermarkt 21, 5256 AV Heusden, Nederland"
"AaikesKasteeldreef 47, 5151 RR Drunen, Nederland"
"Aardbeienstalletje ElshoutKerkstraat 13, 5154 AM Elshout, Nederland"
"Abdij Onze Lieve Vrouw Van KoningshoevenEindhovenseweg 3, 5056 RP Berkel-Enschot, Nederland"
"An Kerks â van der MeijdenWolfshoek 84, 5154 AD Elshout, Nederland"
"Ans MuskensHoge Schijf 4, 5151 RC Drunen, Nederland"
"Asperge en aardbeienkwekerij MustersZeedijk 4, 5154 PA Elshout, Nederland"
"Aspergeboerderij De Vossenberg & Brouwers Tuinbouw & bestratingenTilburgsebaan 32, 5126 PH Gilze, Nederland"
"Aubergines stalletjeMayweg 12, 5154 PC Elshout, Nederland"
"Bakker AllardGrotestraat 202, 5151 BR Drunen, Nederland"
"Bakkerij Jan Swaanen â HilvarenbeekApollostraat 1, 5081 GS Hilvarenbeek, Nederland"
"Bakkerij Jan Swaanen â OisterwijkMoergestelseweg 1-02, 5062 SP Oisterwijk, Nederland"
"Bakkertje DeegBotermarkt 13, 5256 AV Heusden, Nederland"
"Bierbrouwerij de RoosSint Sebastiaanstraat, 5081 ZG Hilvarenbeek, Nederland"
"Bijenhoudersvereniging Sint AmbrosiusRidderstraat 100, 5126 BH Gilze, Nederland"
"Bioboerderij ât SchopEsbeekseweg 2, 5081 ED Hilvarenbeek, Nederland"
"Biologisch Melkveebedrijf MaaslandNieuweweg 3, 5106 RA Dongen, Nederland"
"Boerderij ât ZandeindZandeind 32A, 5133 AC Riel, Nederland"
"Boerderij de GrensBavelseweg 170, 5124 PZ Molenschot, Nederland"
"Boerderij GrutjeGroot Loo 9, 5081 BK Hilvarenbeek, Nederland"
"Boerderijwinkel Dân HeerdEindsestraat 21, 5105 AA Dongen, Nederland"
"Boerderijwinkel Het BelvershuysBelversestraat 31, 5076 PW Haaren, Nederland"
"Boerderijwinkel/verkoopautomaten De Annahoeve â De MoerZijstraat 25, 5176 NG De Moer, Nederland"
"Boerensoftijs van dân ElandNieuwevaart 68, 5161 AS Sprang-Capelle, Nederland"
"Boomgaard LisboaHoofdstraat 20, 5109 AC 's Gravenmoer, Nederland"
"Bosscheweg 131, DrunenBosscheweg 131, 5151 BC Drunen, Nederland"
"Champignon automaat JoHeKoHeibloemstraat 5, 5106 RD Dongen, Nederland"
"Courgette- en rabarberstalletjeHoekje 10, 5171 RH Kaatsheuvel, Nederland"
"De BeijsterhofProcureurweg 24, 5103 BG Dongen, Nederland"
"De Geitenhoeve boerderijautomaatTorentjeshoeve 6A, 5018 TL Tilburg, Nederland"
"De Goeije KroonBreedstraat 14, 5105 AE Dongen, Nederland"
"De Goudreinet RijenWilhelminaplein 23, 5121 ES Rijen, Nederland"
"De GroenteloodsOliviersweg 99, 5061 PL Oisterwijk, Nederland"
"De Kerkhovense MolenLangvennen-Oost 120, 5061 DR Oisterwijk, Nederland"
"De Korenmolen, DrunenParallelweg 8, 5151 AB Drunen, Nederland"
"De LaarhoeveLaarstraat 16, 5087 BG Diessen, Nederland"
"De Moerderij scharrelvarkensMiddelstraat 64, 5176 NK De Moer, Nederland"
"De Regte HeijdenOude Tilburgsebaan 12A, 5133 BE Riel, Nederland"
"De Ruijsbossche HoeveRoonsestraat 3, 5076 PM Haaren, Nederland"
"De SchaepsdyckLangenbergseweg 18, 5126 PX Gilze, Nederland"
"De WalhoeveHoge Wal 17, 5053 LG Goirle, Nederland"
"De Winkel van Boer JosZandeind 34, 5133 AC Riel, Nederland"
"De ZwammenbergZijstraat 20, 5176 NG De Moer, Nederland"
"Den Doorn boerderijwinkelDuinlaan 3, 5171 RN Kaatsheuvel, Nederland"
"Dennis en KimNorbertijnerstraat 29, 5154 EC Elshout, Nederland"
"Dorpsstraat 20, DoeverenDorpsstraat 20, 5157 NG Doeveren, Nederland"
"Duinlaan 2, KaatsheuvelDuinlaan 2, 5171 RN Kaatsheuvel, Nederland"
"Edelherten boerderij de ZonhoeveKeizers Akker 7, 5032 PM Tilburg, Nederland"
"EmmamolenSint Jorisstraat 16, 5253 BL Nieuwkuijk, Nederland"
"Familie TimmermansInlaagdijk 27, 5254 KC Haarsteeg, Nederland"
"Floor van LieshoutGrotestraat 124, 5151 BN Drunen, Nederland"
"Fruitteeltbedrijf M.S.L ZijlmansCarmelietenstraat 33, 5165 AJ Waspik, Nederland"
"Geitenbedrijf van RooijMargrietweg 19, 5151 RH Drunen, Nederland"
"Geitenhouderij van HoutumNoenes 16, 5076 PP Haaren, Nederland"
"GoeiEeteHoge Wal 15, 5022 KH Goirle, Nederland"
"Groente en Fruitspeciaalzaak TimmermansRaadhuisplein 7, 5161 CG Sprang-Capelle, Nederland"
"Groenten- en fruitwinkel De BraackenTurnhoutsebaan 15, 5051 DZ Goirle, Nederland"
"Haarsteegsestraat 36Haarsteegsestraat 36, 5254 JR Haarsteeg, Nederland"
"Haarsteegsestraat 55 AHaarsteegsestraat 55a, 5254 JT Haarsteeg, Nederland"
"Happy CrunchNieuwkuijksestraat 9A, 5253 AC Nieuwkuijk, Nederland"
"Harrie en Miriam Broeders-Van RooijBergstraat 32, 5175 AA Loon op Zand, Nederland"
"Herptse honingHeusdenseweg 18, 5255 AD Herpt, Nederland"
"Het Aardappelpakhuis TilburgEverjachtstraat 53, 5042 WG Tilburg, Nederland"
"Het BloemhofRechtvaart 31, 5171 TB Kaatsheuvel, Nederland"
"HetlekkerstestraatjeOliviersweg 9, 5061 PL Oisterwijk, Nederland"
"Hoeve Hooge HeideOirschotsebaan 21, 5062 TG Oisterwijk, Nederland"
"Hof van HeusdenHoogstraat 1, 5256 AW Heusden, Nederland"
"I.M. van GorkumLoonse Molenstraat 32, 5175 PT Loon op Zand, Nederland"
"Imker Ton SmoldersKruisboog 7, 5081 PX Hilvarenbeek, Nederland"
"Imkerij Op ât SandtScorpius 6, 5175 XM Loon op Zand, Nederland"
"Imkerij SprangershofOosteind 29, 5161 MG Sprang-Capelle, Nederland"
"In ât GroenKlein Dongenseweg 78, 5106 AC Dongen, Nederland"
"Jan en Arina SchuurmansHoog Heukelom 3, 5059 AD Heukelom, Nederland"
"Jan en Tineke van DrunenOude Schoolstraat 22, 5257 NA Heusden, Nederland"
"Jolandaâs honinghuisjeVan der Duinstraat 27, 5161 BL Sprang-Capelle, Nederland"
"Kaasboerderij De LeyedaelerBeeksedijk 16, 5051 PS Goirle, Nederland"
"Kerkstraat 19, ElshoutKerkstraat 19, 5154 AM Elshout, Nederland"
"KruidenrijkKapelweg 9, 5076 TK Haaren, Nederland"
"Kwekerij Heusdenseweg{51.70978119228846,5.183786138098161}"
"Kwekerij VromansQuirijnstokstraat 15, 5012 TC Tilburg, Nederland"
"Landwinkel de RosephoeveRosepdreef 13, 5062 TB Oisterwijk, Nederland"
"Maatschap Claassen-KlijnKlein Dongenseweg 50, 5106 AC Dongen, Nederland"
"Maatschap J.H.C.M. Beenackers en C.C.A.M. BeenackersBavelseweg 166, 5124 PZ Molenschot, Nederland"
"Maatschap M.P.M. Vissers en O.A.M. Vissers-van Heist en H.J.M. VissersDuinweg 52, 5151 RK Drunen, Nederland"
"Maatschap Van SuijlekomVeerweg 11, 5161 PC Sprang-Capelle, Nederland"
"Marie van de MiddelhaaiNassau Dwarsstraat 5, 5251 KJ Vlijmen, Nederland"
"Marloes de JongGemeentenweg 71, 5106 NK Dongen, Nederland"
"Melktap 013Nieuwelijn 1, 5032 PB Tilburg, Nederland"
"Melktap van HoekChaamseweg 6C, 5126 NE Gilze, Nederland"
"Melkveebedrijf De Heibloem VOFHeibloemstraat 14, 5176 NM De Moer, Nederland"
"Melkveebedrijf M. van Drunen V.O.F.Honderdbunderweg 9, 5151 RJ Drunen, Nederland"
"Melkveebedrijf Van HeeschMariÃ«ndonkstraat 47, 5154 EG Elshout, Nederland"
"Melkveebedrijf Van RooijHonderdbunderweg 1, 5151 RJ Drunen, Nederland"
"Molen de DoornboomDoelenstraat 53, 5081 CK Hilvarenbeek, Nederland"
"Molen de WildeNieuwe Rielseweg 39, 5051 PD Goirle, Nederland"
"Mommersteeg 33Mommersteeg 33, 5254 VL Haarsteeg, Nederland"
"Mommersteeg 78, HaarsteegMommersteeg 78, 5254 VN Haarsteeg, Nederland"
"Muskens PalingkwekerijBernsestraat 9, 5256 ND Heusden, Nederland"
"Natuurlijk HenriÃ«tte â Natuurlijk TomaatKlein Dongenseweg 81, 5106 AB Dongen, Nederland"
"Oesterzwamkwekerij ZuiderZwam bij Un Bietje GroenKoningshoeven 62, 5018 AB Tilburg, Nederland"
"Ons BuitenKraanven 10, 5175 PE Loon op Zand, Nederland"
"Ons Ã«rpelhokskeVrouwkensvaartsestraat 45, 5165 NN Waspik, Nederland"
"Onsenoortsestraat 31, NieuwkuijkOnsenoortsestraat 31, 5253 AA Nieuwkuijk, Nederland"
"Onsenoortsestraat 37, NieuwkuijkOnsenoortsestraat 37, 5253 AA Nieuwkuijk, Nederland"
"Paling F. van der LaarHeistraat 204, 5161 GL Sprang-Capelle, Nederland"
"Paul & Jeannine Faes / Naturologische landbouwHorst 31, 5126 BZ Gilze, Nederland"
"Piet van Meintjes HoeveHoog Heukelom 11, 5059 AD Heukelom, Nederland"
"PompoenstalletjeMariÃ«ndonkstraat 14, 5154 EH Elshout, Nederland"
"Sanders groentewinkelWendelnesseweg-Oost, 5161 ZA Sprang-Capelle, Nederland"
"Stadsimkerij BeeZzzzMeelstraat 61, 5025 KL Tilburg, Nederland"
"Stalletje augurken, muismeloenen enz.Torenstraat 30, 5151 JL Drunen, Nederland"
"Streekwinkel WilgenhartBavelseweg 128, 5124 PZ Molenschot, Nederland"
"Struisvogelfarm Van de StaakBleukweg 6, 5032 PN Tilburg, Nederland"
"The perfect weddingInlaagdijk 29, 5254 KC Haarsteeg, Nederland"
"Theo Machielsen groente en fruitVan Haestrechtstraat 9A, 5171 RB Kaatsheuvel, Nederland"
"Tomâs groente en fruitMonseigneur Zwijsenstraat 14, 5142 SM Waalwijk, Nederland"
"Tomatenkwekerij PijpersGroenstraat 13, 5257 NK Heusden, Nederland"
"Ton en Dieneke van HultenDuinweg 21, 5151 RK Drunen, Nederland"
"Tuinderij de EsEind 19C, 5076 TD Haaren, Nederland"
"Tuinderij PeetersZwarte Dijk 41A, 5121 ZA Rijen, Nederland"
"Uterpelhokske van de LangenbergLoonse Molenstraat 44, 5175 PT Loon op Zand, Nederland"
"Van Empel aspergesBelversestraat 24, 5076 PZ Haaren, Nederland"
"Van Leijsen VOFWendelnesseweg-Oost 45, 5161 ZC Sprang-Capelle, Nederland"
"Van Roessel boerderijproductenDorpsstraat 63, 5051 CJ Goirle, Nederland"
"Van Son AspergesTuinbouwweg 14, 5254 VJ Haarsteeg, Nederland"
"Veelon MelktapBredestraat 67, 5121 PE Rijen, Nederland"
"Verkooppunt courgettes, boontjes en rode bietenInlaagdijk 13, 5254 KC Haarsteeg, Nederland"
"Verkooppunt rabarber, raapstelen en aardbeiplantenKapelstraat 51, 5154 AV Elshout, Nederland"
"Vermeer zuivelproductenDorpsstraat 61, 5051 CJ Goirle, Nederland"
"Vermeulen EierenSchellebaan 2, 5133 NP Riel, Nederland"
"Vivo lekkernijenRaadhuisstraat 45A, 5161 BD Sprang-Capelle, Nederland"
"VOF Houtepen, aardbeien en aspergesMiddelstraat 45, 5176 NH De Moer, Nederland"
"W.J. Geelen, groente en fruitMayweg 16, 5154 PC Elshout, Nederland"
"WaleukValkenvoortweg 31, 5145 PM Waalwijk, Nederland"
"Warme Bakker Pieter VermeulenMommersteeg 19, 5254 VK Haarsteeg, Nederland"
"Weidevlees ELSHORST PUUREsbeeksedijk 4, 5087 TG Diessen, Nederland"
"Wieks scharrelmelkWestelbeersedijk 5, 5087 TK Diessen, Nederland"
"Wijndomein WoutherushofNaulandseweg 48, 5154 PB Elshout, Nederland"
"WilgenhartBavelseweg 128, 5124 PZ Molenschot, Nederland"
"Willemse luxe brood en banketDiessenseweg 22, 5081 AJ Hilvarenbeek, Nederland"
"Wolput 13 VlijmenWolput 13, 5251 CC Vlijmen, Nederland"
"Zeedijk 52, ElshoutZeedijk 52, 5154 PA Elshout, Nederland"
"Zorgboerderij de Bonte HoeveHogevaart 85, 5161 PM Sprang-Capelle, Nederland"
"Zorgboerderij GiersbergenGiersbergen 2, 5151 RG Drunen, Nederland"
"Zuivelboerderij de KernOverstortweg 7, 5151 AD Drunen, Nederland"
